title,rating,year,duration,director_1,director_fb_likes_1,actor_1,actor_2,actor_3,actor_fb_likes_1,actor_fb_likes_2,actor_fb_likes_3
Did You Hear About the Morgans?,PG-13,2009.0,103.0,Marc Lawrence,30.0,Michael Kelly,Kim Shaw,Kevin Brown,963.0,935.0,727.0
The Internship,PG-13,2013.0,125.0,Shawn Levy,189.0,Josh Gad,Jessica Szohr,Rob Riggle,1000.0,847.0,839.0
Resident Evil: Afterlife,R,2010.0,97.0,Paul W.S. Anderson,545.0,Milla Jovovich,Boris Kodjoe,Shawn Roberts,14000.0,1000.0,529.0
Red Tails,PG-13,2012.0,125.0,Anthony Hemingway,143.0,David Oyelowo,Nate Parker,Tristan Mack Wilds,1000.0,664.0,519.0
Sex and the City,TV-MA,,30.0,,,Chris Noth,Kristin Davis,Cynthia Nixon,962.0,722.0,479.0
The Devil's Advocate,R,1997.0,136.0,Taylor Hackford,138.0,Keanu Reeves,Al Pacino,Charlize Theron,18000.0,14000.0,9000.0
That's My Boy,R,2012.0,116.0,Sean Anders,51.0,Adam Sandler,Leighton Meester,Will Forte,11000.0,3000.0,622.0
DragonHeart,PG-13,1996.0,103.0,Rob Cohen,357.0,Dennis Quaid,Brian Thompson,Terry O'Neill,2000.0,663.0,40.0
After the Sunset,PG-13,2004.0,97.0,Brett Ratner,420.0,Salma Hayek,Don Cheadle,Chris Penn,4000.0,3000.0,455.0
Ghost Rider: Spirit of Vengeance,PG-13,2011.0,96.0,Mark Neveldine,83.0,Nicolas Cage,Spencer Wilding,Christopher Lambert,12000.0,1000.0,1000.0
Captain Corelli's Mandolin,R,2001.0,131.0,John Madden,108.0,Christian Bale,Irene Papas,Mihalis Giannatos,23000.0,243.0,58.0
Anger Management,,,22.0,,,Barry Corbin,Noureen DeWulf,Brian Austin Green,883.0,701.0,676.0
The Pacifier,PG,2005.0,95.0,Adam Shankman,163.0,Vin Diesel,Brad Garrett,Tate Donovan,14000.0,799.0,650.0
Walking Tall,PG-13,2004.0,86.0,Kevin Bray,10.0,Dwayne Johnson,Ashley Scott,Michael Bowen,12000.0,795.0,348.0
Forrest Gump,PG-13,1994.0,142.0,Robert Zemeckis,0.0,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,15000.0,294.0,194.0
Alvin and the Chipmunks,PG,2007.0,92.0,Tim Hill,25.0,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,1000.0,718.0,639.0
Meet the Parents,PG-13,2000.0,108.0,Jay Roach,116.0,Robert De Niro,Blythe Danner,Teri Polo,22000.0,713.0,708.0
Pocahontas,G,1995.0,84.0,Mike Gabriel,12.0,Christian Bale,Frank Welker,Irene Bedard,23000.0,2000.0,752.0
Superman,PG,1978.0,188.0,Richard Donner,503.0,Marlon Brando,Margot Kidder,Ned Beatty,10000.0,593.0,467.0
The Nutty Professor,PG-13,1996.0,95.0,Tom Shadyac,293.0,Jada Pinkett Smith,James Coburn,Dave Chappelle,851.0,773.0,744.0
Hitch,PG-13,2005.0,118.0,Andy Tennant,72.0,Will Smith,Michael Rapaport,Kevin Sussman,10000.0,975.0,681.0
George of the Jungle,PG,1997.0,92.0,Sam Weisman,39.0,Brendan Fraser,Abraham Benrubi,Holland Taylor,3000.0,562.0,458.0
American Wedding,R,2003.0,74.0,Jesse Dylan,58.0,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,3000.0,864.0,729.0
Captain Phillips,PG-13,2013.0,134.0,Paul Greengrass,521.0,Tom Hanks,Chris Mulkey,Michael Chernus,15000.0,535.0,186.0
Date Night,PG-13,2010.0,101.0,Shawn Levy,189.0,Mila Kunis,James Franco,Steve Carell,15000.0,11000.0,7000.0
Casper,PG,1995.0,100.0,Brad Silberling,52.0,Eric Idle,Fred Rogers,Cathy Moriarty,795.0,419.0,394.0
The Equalizer,R,2014.0,132.0,Antoine Fuqua,845.0,Denzel Washington,Chloë Grace Moretz,James Wilcox,18000.0,17000.0,683.0
Maid in Manhattan,PG-13,2002.0,105.0,Wayne Wang,61.0,Bob Hoskins,Frances Conroy,Natasha Richardson,5000.0,827.0,708.0
Crimson Tide,R,1995.0,123.0,Tony Scott,12000.0,Denzel Washington,Viggo Mortensen,Ricky Schroder,18000.0,10000.0,665.0
The Pursuit of Happyness,PG-13,2006.0,117.0,Gabriele Muccino,125.0,Will Smith,Kurt Fuller,James Karen,10000.0,617.0,168.0
Flightplan,PG-13,2005.0,98.0,Robert Schwentke,124.0,Erika Christensen,Michael Irby,Haley Ramm,931.0,507.0,354.0
Disclosure,R,1994.0,128.0,Barry Levinson,272.0,Demi Moore,Dylan Baker,Roma Maffia,2000.0,812.0,383.0
City of Angels,PG-13,1998.0,114.0,Brad Silberling,52.0,Nicolas Cage,Andre Braugher,Colm Feore,12000.0,702.0,539.0
Kill Bill: Vol. 1,R,2003.0,111.0,Quentin Tarantino,16000.0,David Carradine,Vivica A. Fox,Chiaki Kuriyama,926.0,890.0,640.0
Bowfinger,PG-13,1999.0,85.0,Frank Oz,0.0,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,21000.0,860.0,490.0
Stargate SG-1,TV-14,,44.0,,,Christopher Judge,Don S. Davis,Gary Jones,847.0,440.0,72.0
Kill Bill: Vol. 2,R,2004.0,137.0,Quentin Tarantino,16000.0,Vivica A. Fox,Michael Parks,Michael Bowen,890.0,387.0,348.0
Tango & Cash,R,1989.0,97.0,Andrey Konchalovskiy,96.0,Sylvester Stallone,Jack Palance,Brion James,13000.0,549.0,403.0
Death Becomes Her,PG-13,1992.0,104.0,Robert Zemeckis,0.0,Bruce Willis,Meryl Streep,Isabella Rossellini,13000.0,11000.0,812.0
Shanghai Noon,PG-13,2000.0,110.0,Tom Dey,9.0,Xander Berkeley,Jason Connery,Kate Luyben,485.0,110.0,95.0
Executive Decision,R,1996.0,133.0,Stuart Baird,53.0,Oliver Platt,Joe Morton,J.T. Walsh,1000.0,780.0,263.0
Mr. Popper's Penguins,PG,2011.0,94.0,Mark Waters,70.0,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,1000.0,549.0,497.0
The Forbidden Kingdom,PG-13,2008.0,104.0,Rob Minkoff,50.0,Jet Li,Thomas McDonell,Michael Angarano,5000.0,962.0,947.0
Free Birds,PG,2013.0,91.0,Jimmy Hayward,39.0,Amy Poehler,Carlos Ponce,Dan Fogler,1000.0,591.0,562.0
Alien 3,R,1992.0,145.0,David Fincher,21000.0,Charles S. Dutton,Holt McCallany,Paul McGann,534.0,273.0,243.0
Evita,PG,1996.0,135.0,Alan Parker,317.0,Andrea Corr,Jimmy Nail,Peter Polycarpou,57.0,40.0,34.0
Ronin,R,1998.0,122.0,John Frankenheimer,287.0,Robert De Niro,Natascha McElhone,Michael Lonsdale,22000.0,2000.0,135.0
The Ghost and the Darkness,R,1996.0,110.0,Stephen Hopkins,81.0,Tom Wilkinson,Bernard Hill,Om Puri,1000.0,416.0,163.0
Paddington,PG,2014.0,95.0,Paul King,17.0,Julie Walters,Matt Lucas,Sally Hawkins,838.0,722.0,594.0
The Watch,R,2012.0,102.0,Akiva Schaffer,82.0,Will Forte,Nicholas Braun,Rosemarie DeWitt,622.0,591.0,537.0
The Hunted,R,2003.0,94.0,William Friedkin,607.0,Connie Nielsen,Jenna Boyd,Rex Linn,933.0,518.0,215.0
Instinct,R,1999.0,126.0,Jon Turteltaub,226.0,Anthony Hopkins,Maura Tierney,John Ashton,12000.0,509.0,241.0
Stuck on You,PG-13,2003.0,118.0,Bobby Farrelly,101.0,Matt Damon,Terence Bernie Hines,Seymour Cassel,13000.0,390.0,327.0
Semi-Pro,R,2008.0,99.0,Kent Alterman,3.0,Will Ferrell,Maura Tierney,Matt Walsh,8000.0,509.0,490.0
The Pirates! Band of Misfits,PG,2012.0,88.0,Peter Lord,91.0,Salma Hayek,Russell Tovey,Brian Blessed,4000.0,796.0,591.0
Changeling,R,2008.0,141.0,Clint Eastwood,16000.0,Angelina Jolie Pitt,Michael Kelly,Colm Feore,11000.0,963.0,539.0
Chain Reaction,PG-13,1996.0,107.0,Andrew Davis,99.0,Keanu Reeves,Morgan Freeman,Kevin Dunn,18000.0,11000.0,581.0
The Fan,R,1996.0,116.0,Tony Scott,12000.0,Robert De Niro,Kurt Fuller,Ellen Barkin,22000.0,617.0,552.0
The Phantom of the Opera,PG-13,2004.0,143.0,Joel Schumacher,541.0,Gerard Butler,Minnie Driver,Miranda Richardson,18000.0,893.0,530.0
Elizabeth: The Golden Age,PG-13,2007.0,114.0,Shekhar Kapur,159.0,Eddie Redmayne,Abbie Cornish,Jordi Mollà,13000.0,2000.0,877.0
Æon Flux,PG-13,2005.0,93.0,Karyn Kusama,45.0,Charlize Theron,Sophie Okonedo,Paterson Joseph,9000.0,460.0,352.0
Gods and Generals,PG-13,2003.0,280.0,Ron Maxwell,33.0,Billy Campbell,Bruce Boxleitner,John Castle,789.0,640.0,67.0
Turbulence,R,1997.0,100.0,Robert Butler,0.0,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,995.0,879.0,745.0
Imagine That,PG,2009.0,107.0,Karey Kirkpatrick,11.0,Stephen Root,Ronny Cox,Richard Schiff,939.0,605.0,506.0
Muppets Most Wanted,PG,2014.0,119.0,James Bobin,33.0,Ty Burrell,Tina Fey,Hugh Bonneville,3000.0,2000.0,518.0
Thunderbirds,PG,2004.0,95.0,Jonathan Frakes,906.0,Sophia Myles,Philip Winchester,Brady Corbet,956.0,579.0,287.0
Burlesque,PG-13,2010.0,119.0,Steve Antin,59.0,Eric Dane,Peter Gallagher,David Walton,2000.0,828.0,676.0
A Very Long Engagement,R,2004.0,133.0,Jean-Pierre Jeunet,0.0,Denis Lavant,André Dussollier,Albert Dupontel,226.0,52.0,46.0
Lolita,Not Rated,1962.0,152.0,Stanley Kubrick,0.0,James Mason,Shelley Winters,Lois Maxwell,617.0,367.0,177.0
Eye See You,R,2002.0,96.0,Jim Gillespie,13.0,Sylvester Stallone,Tom Berenger,Charles S. Dutton,13000.0,854.0,534.0
Blade II,R,2002.0,117.0,Guillermo del Toro,0.0,Norman Reedus,Thomas Kretschmann,Tony Curran,12000.0,919.0,845.0
Seven Pounds,PG-13,2008.0,123.0,Gabriele Muccino,125.0,Will Smith,Rosario Dawson,Madison Pettis,10000.0,3000.0,835.0
Bullet to the Head,R,2012.0,92.0,Walter Hill,394.0,Sylvester Stallone,Jason Momoa,Jon Seda,13000.0,11000.0,565.0
The Godfather: Part III,R,1990.0,170.0,Francis Ford Coppola,0.0,Al Pacino,Joe Mantegna,Bridget Fonda,14000.0,1000.0,889.0
Elizabethtown,PG-13,2005.0,123.0,Cameron Crowe,488.0,Orlando Bloom,Kirsten Dunst,Judy Greer,5000.0,4000.0,2000.0
"You, Me and Dupree",PG-13,2006.0,110.0,Anthony Russo,94.0,Todd Stashwick,Billy Gardell,Amanda Detmer,277.0,245.0,240.0
Superman II,PG,1980.0,116.0,Richard Lester,44.0,Margot Kidder,Ned Beatty,Jackie Cooper,593.0,467.0,420.0
Gigli,R,2003.0,121.0,Martin Brest,102.0,Todd Giebenhain,Lenny Venito,David Backus,117.0,62.0,43.0
All the King's Men,PG-13,2006.0,128.0,Steven Zaillian,234.0,Kate Winslet,Anthony Hopkins,Kevin Dunn,14000.0,12000.0,581.0
Shaft,R,2000.0,99.0,John Singleton,309.0,Christian Bale,Vanessa Williams,Daniel von Bargen,23000.0,1000.0,577.0
Anastasia,G,1997.0,94.0,Don Bluth,383.0,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,4000.0,808.0,753.0
Moulin Rouge!,PG-13,2001.0,127.0,Baz Luhrmann,1000.0,Jim Broadbent,Kylie Minogue,Richard Roxburgh,1000.0,691.0,653.0
Domestic Disturbance,PG-13,2001.0,89.0,Harold Becker,17.0,Steve Buscemi,Teri Polo,Matt O'Leary,12000.0,708.0,303.0
Black Mass,R,2015.0,123.0,Scott Cooper,108.0,Johnny Depp,Benedict Cumberbatch,Adam Scott,40000.0,19000.0,3000.0
Flags of Our Fathers,R,2006.0,135.0,Clint Eastwood,16000.0,Paul Walker,Chris Bauer,Tom McCarthy,23000.0,638.0,310.0
Law Abiding Citizen,R,2009.0,118.0,F. Gary Gray,473.0,Gerard Butler,Leslie Bibb,Michael Kelly,18000.0,1000.0,963.0
Grindhouse,R,2007.0,189.0,Robert Rodriguez,0.0,Quentin Tarantino,Rosario Dawson,Zoë Bell,16000.0,3000.0,1000.0
Beloved,R,1998.0,172.0,Jonathan Demme,438.0,Oprah Winfrey,Kimberly Elise,Hill Harper,852.0,637.0,466.0
Lucky You,PG-13,2007.0,124.0,Curtis Hanson,161.0,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,21000.0,3000.0,681.0
Catch Me If You Can,PG-13,2002.0,141.0,Steven Spielberg,14000.0,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,29000.0,15000.0,3000.0
Zero Dark Thirty,R,2012.0,157.0,Kathryn Bigelow,0.0,Jennifer Ehle,Harold Perrineau,Parker Sawyers,1000.0,1000.0,304.0
The Break-Up,PG-13,2006.0,106.0,Peyton Reed,235.0,Jon Favreau,John Michael Higgins,Ann-Margret,4000.0,957.0,931.0
Mamma Mia!,PG-13,2008.0,108.0,Phyllida Lloyd,58.0,Colin Firth,Meryl Streep,Julie Walters,14000.0,11000.0,838.0
Valentine's Day,PG-13,2010.0,125.0,Garry Marshall,0.0,Bradley Cooper,Taylor Lautner,Anne Hathaway,14000.0,12000.0,11000.0
The Dukes of Hazzard,PG-13,2005.0,107.0,Jay Chandrasekhar,422.0,Alice Greczyn,Jessica Simpson,Michael Weston,631.0,534.0,379.0
The Thin Red Line,R,1998.0,215.0,Terrence Malick,0.0,Nick Stahl,Miranda Otto,Dash Mihok,648.0,568.0,463.0
The Change-Up,R,2011.0,118.0,David Dobkin,71.0,Ryan Reynolds,Olivia Wilde,Mircea Monroe,16000.0,10000.0,634.0
Man on the Moon,R,1999.0,118.0,Milos Forman,869.0,Matt Price,Gerry Becker,Tom Dreesen,134.0,27.0,21.0
Casino,R,1995.0,178.0,Martin Scorsese,17000.0,Robert De Niro,Don Rickles,Kevin Pollak,22000.0,721.0,574.0
From Paris with Love,R,2010.0,92.0,Pierre Morel,180.0,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,211.0,135.0,75.0
Bulletproof Monk,PG-13,2003.0,104.0,Paul Hunter,13.0,Jaime King,Mako,Victoria Smurfit,961.0,691.0,343.0
"Me, Myself & Irene",R,2000.0,116.0,Bobby Farrelly,101.0,Robert Forster,Tony Cox,Rob Moran,889.0,624.0,79.0
Barnyard,PG,2006.0,90.0,Steve Oedekerk,176.0,Rob Paulsen,Wanda Sykes,Maurice LaMarche,677.0,560.0,523.0
Deck the Halls,PG,2006.0,93.0,John Whitesell,14.0,Matthew Broderick,Jorge Garcia,Alia Shawkat,2000.0,1000.0,728.0
The Twilight Saga: New Moon,PG-13,2009.0,130.0,Chris Weitz,129.0,Robert Pattinson,Kristen Stewart,Taylor Lautner,21000.0,17000.0,12000.0
Shrek,PG,2001.0,90.0,Andrew Adamson,80.0,Kathleen Freeman,Chris Miller,Bobby Block,145.0,50.0,21.0
The Adjustment Bureau,PG-13,2011.0,106.0,George Nolfi,53.0,Matt Damon,Michael Kelly,Jon Stewart,13000.0,963.0,593.0
Robin Hood: Prince of Thieves,PG-13,1991.0,155.0,Kevin Reynolds,58.0,Alan Rickman,Morgan Freeman,Michael Wincott,25000.0,11000.0,721.0
Jerry Maguire,R,1996.0,139.0,Cameron Crowe,488.0,Tom Cruise,Kelly Preston,Bonnie Hunt,10000.0,743.0,597.0
Ted,R,2012.0,112.0,Seth MacFarlane,3000.0,Mila Kunis,Seth MacFarlane,Tom Skerritt,15000.0,3000.0,1000.0
As Good as It Gets,PG-13,1997.0,139.0,James L. Brooks,274.0,Lupe Ontiveros,Yeardley Smith,Shirley Knight,625.0,440.0,285.0
Patch Adams,PG-13,1998.0,115.0,Tom Shadyac,293.0,Robin Williams,Philip Seymour Hoffman,Monica Potter,49000.0,22000.0,878.0
Anchorman 2: The Legend Continues,PG-13,2013.0,143.0,Adam McKay,285.0,Harrison Ford,Will Ferrell,Steve Carell,11000.0,8000.0,7000.0
Mr. Deeds,PG-13,2002.0,96.0,Steven Brill,65.0,Steve Buscemi,Adam Sandler,Peter Gallagher,12000.0,11000.0,828.0
Super 8,PG-13,2011.0,112.0,J.J. Abrams,14000.0,Joel Courtney,AJ Michalka,Zach Mills,1000.0,560.0,417.0
Erin Brockovich,R,2000.0,131.0,Steven Soderbergh,0.0,Julia Roberts,Albert Finney,Conchata Ferrell,8000.0,883.0,658.0
How to Lose a Guy in 10 Days,PG-13,2003.0,116.0,Donald Petrie,80.0,Matthew McConaughey,Adam Goldberg,Thomas Lennon,11000.0,1000.0,651.0
22 Jump Street,R,2014.0,112.0,Phil Lord,97.0,Channing Tatum,Craig Roberts,Amber Stevens West,17000.0,920.0,584.0
Interview with the Vampire: The Vampire Chronicles,R,1994.0,123.0,Neil Jordan,277.0,Brad Pitt,Tom Cruise,Kirsten Dunst,11000.0,10000.0,4000.0
Yes Man,PG-13,2008.0,104.0,Peyton Reed,235.0,Bradley Cooper,Zooey Deschanel,Danny Masterson,14000.0,11000.0,1000.0
Central Intelligence,PG-13,2016.0,107.0,Rawson Marshall Thurber,43.0,Dwayne Johnson,Thomas Kretschmann,Megan Park,12000.0,919.0,569.0
Stepmom,PG-13,1998.0,124.0,Chris Columbus,0.0,Julia Roberts,Liam Aiken,Herbert Russell,8000.0,818.0,701.0
Daddy's Home,PG-13,2015.0,96.0,Sean Anders,51.0,Will Ferrell,Linda Cardellini,Mark L. Young,8000.0,2000.0,322.0
Into the Woods,PG,2014.0,125.0,Rob Marshall,252.0,Johnny Depp,Meryl Streep,Anna Kendrick,40000.0,11000.0,10000.0
Inside Man,R,2006.0,129.0,Spike Lee,0.0,Denzel Washington,James Ransone,Peter Gerety,18000.0,412.0,277.0
Payback,R,1999.0,90.0,Brian Helgeland,241.0,Bill Duke,Deborah Kara Unger,William Devane,1000.0,495.0,416.0
Congo,PG-13,1995.0,109.0,Frank Marshall,155.0,Dylan Walsh,Joe Don Baker,Grant Heslov,426.0,387.0,293.0
We Bought a Zoo,PG,2011.0,124.0,Cameron Crowe,488.0,Scarlett Johansson,Matt Damon,Stephanie Szostak,19000.0,13000.0,1000.0
Knowing,PG-13,2009.0,121.0,Alex Proyas,295.0,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,12000.0,748.0,329.0
Failure to Launch,PG-13,2006.0,95.0,Tom Dey,9.0,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,14000.0,11000.0,11000.0
The Ring Two,PG-13,2005.0,128.0,Hideo Nakata,62.0,Naomi Watts,Gary Cole,Sissy Spacek,6000.0,989.0,874.0
"Crazy, Stupid, Love.",PG-13,2011.0,118.0,Glenn Ficarra,43.0,Ryan Gosling,Emma Stone,Steve Carell,33000.0,15000.0,7000.0
Garfield,PG,2004.0,80.0,Peter Hewitt,12.0,Bill Murray,Mark Christopher Lawrence,Michael Monks,13000.0,258.0,58.0
Christmas with the Kranks,PG,2004.0,99.0,Joe Roth,148.0,Jamie Lee Curtis,Cheech Marin,Jake Busey,2000.0,844.0,660.0
Moneyball,PG-13,2011.0,133.0,Bennett Miller,152.0,Philip Seymour Hoffman,Robin Wright,Brad Pitt,22000.0,18000.0,11000.0
Outbreak,R,1995.0,127.0,Wolfgang Petersen,249.0,Kevin Spacey,Morgan Freeman,Rene Russo,18000.0,11000.0,808.0
Non-Stop,PG-13,2014.0,106.0,Jaume Collet-Serra,174.0,Liam Neeson,Nate Parker,Scoot McNairy,14000.0,664.0,660.0
Race to Witch Mountain,PG,2009.0,98.0,Andy Fickman,99.0,Dwayne Johnson,Billy Brown,Tom Everett Scott,12000.0,536.0,433.0
V for Vendetta,R,2005.0,132.0,James McTeigue,160.0,Natalie Portman,Eddie Marsan,Rupert Graves,20000.0,979.0,443.0
Shanghai Knights,PG-13,2003.0,114.0,David Dobkin,71.0,Fann Wong,Anna-Louise Plowman,Georgina Chapman,154.0,131.0,55.0
Unforgotten,,,45.0,,,Bernard Hill,Gemma Jones,Nicola Walker,416.0,171.0,132.0
Curious George,G,2006.0,78.0,Matthew O'Callaghan,5.0,Will Ferrell,Frank Welker,Alexander Gould,8000.0,2000.0,1000.0
Herbie Fully Loaded,G,2005.0,101.0,Angela Robinson,23.0,Scoot McNairy,Thomas Lennon,Cheryl Hines,660.0,651.0,541.0
Don't Say a Word,R,2001.0,113.0,Gary Fleder,39.0,Oliver Platt,Jennifer Esposito,Conrad Goode,1000.0,912.0,477.0
Hansel & Gretel: Witch Hunters,R,2013.0,98.0,Tommy Wirkola,75.0,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,10000.0,520.0,467.0
Unfaithful,R,2002.0,124.0,Adrian Lyne,213.0,Olivier Martinez,Erik Per Sullivan,Chad Lowe,838.0,593.0,372.0
I Am Number Four,PG-13,2011.0,109.0,D.J. Caruso,154.0,Alex Pettyfer,Emily Wickersham,Reuben Langdon,15000.0,348.0,144.0
Syriana,R,2005.0,128.0,Stephen Gaghan,79.0,Matt Damon,Amr Waked,Kayvan Novak,13000.0,903.0,414.0
13 Hours,R,2016.0,144.0,Michael Bay,0.0,Toby Stephens,James Badge Dale,David Costabile,769.0,726.0,681.0
The Book of Life,PG,2014.0,95.0,Jorge R. Gutiérrez,34.0,Channing Tatum,Hector Elizondo,Ana de la Reguera,17000.0,995.0,679.0
Firewall,PG-13,2006.0,105.0,Richard Loncraine,12.0,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,87000.0,11000.0,935.0
Absolute Power,R,1997.0,121.0,Clint Eastwood,16000.0,Clint Eastwood,Mark Margolis,Scott Glenn,16000.0,1000.0,826.0
G.I. Jane,R,1997.0,125.0,Ridley Scott,0.0,Viggo Mortensen,Demi Moore,John Michael Higgins,10000.0,2000.0,957.0
The Game,R,1997.0,129.0,David Fincher,21000.0,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,495.0,294.0,283.0
Silent Hill,R,2006.0,132.0,Christophe Gans,50.0,Radha Mitchell,Deborah Kara Unger,Alice Krige,992.0,495.0,368.0
The Replacements,PG-13,2000.0,118.0,Howard Deutch,41.0,Keanu Reeves,Jon Favreau,Faizon Love,18000.0,4000.0,585.0
American Reunion,R,2012.0,113.0,Jon Hurwitz,22.0,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,3000.0,1000.0,1000.0
The Negotiator,R,1998.0,140.0,F. Gary Gray,473.0,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,18000.0,822.0,294.0
Into the Storm,PG-13,2014.0,89.0,Steven Quale,77.0,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,490.0,298.0,159.0
Beverly Hills Cop III,R,1994.0,104.0,John Landis,644.0,Louis Lombardi,Jon Tenney,Gilbert R. Hill,437.0,289.0,174.0
Gremlins 2: The New Batch,PG-13,1990.0,106.0,Joe Dante,287.0,Christopher Lee,Robert Picardo,Phoebe Cates,16000.0,823.0,767.0
The Judge,R,2014.0,141.0,David Dobkin,71.0,Robert Downey Jr.,Robert Duvall,Leighton Meester,21000.0,3000.0,3000.0
The Peacemaker,R,1997.0,124.0,Mimi Leder,75.0,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,294.0,273.0,258.0
Resident Evil: Apocalypse,R,2004.0,98.0,Alexander Witt,38.0,Milla Jovovich,Thomas Kretschmann,Mike Epps,14000.0,919.0,706.0
Bridget Jones: The Edge of Reason,R,2004.0,108.0,Beeban Kidron,17.0,Colin Firth,Jim Broadbent,Celia Imrie,14000.0,1000.0,186.0
Out of Time,R,2003.0,114.0,Carl Franklin,73.0,Denzel Washington,Sanaa Lathan,John Billingsley,18000.0,886.0,323.0
On Deadly Ground,R,1994.0,101.0,Steven Seagal,0.0,Mike Starr,Joan Chen,Sven-Ole Thorsen,854.0,643.0,158.0
The Adventures of Sharkboy and Lavagirl 3-D,PG,2005.0,93.0,Robert Rodriguez,0.0,Taylor Lautner,Kristin Davis,Taylor Dooley,12000.0,722.0,717.0
The Beach,R,2000.0,119.0,Danny Boyle,0.0,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,29000.0,414.0,39.0
Raising Helen,PG-13,2004.0,119.0,Garry Marshall,0.0,Amber Valletta,Felicity Huffman,Spencer Breslin,627.0,508.0,434.0
Ninja Assassin,R,2009.0,99.0,James McTeigue,160.0,Shô Kosugi,Ben Miles,Rain,330.0,119.0,72.0
For Love of the Game,PG-13,1999.0,137.0,Sam Raimi,0.0,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,24000.0,743.0,432.0
A Touch of Frost,,,105.0,,,David Jason,Bruce Alexander,John Lyons,325.0,7.0,5.0
Striptease,R,1996.0,117.0,Andrew Bergman,31.0,Demi Moore,Rumer Willis,Paul Guilfoyle,2000.0,472.0,210.0
Marmaduke,PG,2010.0,87.0,Tom Dey,9.0,Emma Stone,Judy Greer,Steve Coogan,15000.0,2000.0,1000.0
Hereafter,PG-13,2010.0,129.0,Clint Eastwood,16000.0,Matt Damon,Jay Mohr,Cécile De France,13000.0,563.0,447.0
Murder by Numbers,R,2002.0,115.0,Barbet Schroeder,58.0,Ryan Gosling,Chris Penn,Agnes Bruckner,33000.0,455.0,401.0
Assassins,R,1995.0,132.0,Richard Donner,503.0,Muse Watson,Sylvester Stallone,Kelly Rowan,45000.0,13000.0,282.0
Hannibal Rising,R,2007.0,131.0,Peter Webber,73.0,Li Gong,Stephen Walters,Richard Brake,879.0,184.0,163.0
The Story of Us,R,1999.0,95.0,Rob Reiner,0.0,Bruce Willis,Tim Matheson,Rita Wilson,13000.0,559.0,323.0
The Host,PG-13,2013.0,125.0,Andrew Niccol,487.0,J.D. Evermore,Chandler Canterbury,Rachel Roberts,430.0,329.0,201.0
Basic,R,2003.0,98.0,John McTiernan,323.0,Connie Nielsen,Harry Connick Jr.,Tim Daly,933.0,631.0,511.0
Blood Work,R,2002.0,110.0,Clint Eastwood,16000.0,Clint Eastwood,Anjelica Huston,Rick Hoffman,16000.0,1000.0,581.0
The International,R,2009.0,118.0,Tom Tykwer,670.0,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,6000.0,450.0,294.0
Escape from L.A.,R,1996.0,101.0,John Carpenter,0.0,Steve Buscemi,Valeria Golino,Michelle Forbes,12000.0,898.0,764.0
Twisted,,,60.0,,,Grey Damon,Brittany Curran,Aaron Hill,629.0,512.0,398.0
The Iron Giant,PG,1999.0,90.0,Brad Bird,663.0,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,14000.0,631.0,521.0
The Life Aquatic with Steve Zissou,R,2004.0,119.0,Wes Anderson,0.0,Bill Murray,Anjelica Huston,Matthew Gray Gubler,13000.0,1000.0,639.0
Free State of Jones,R,2016.0,139.0,Gary Ross,378.0,Matthew McConaughey,Donald Watkins,Jessica Collins,11000.0,552.0,303.0
The Life of David Gale,R,2003.0,130.0,Alan Parker,317.0,Kevin Spacey,Kate Winslet,Matt Craven,18000.0,14000.0,256.0
Man of the House,PG-13,2005.0,100.0,Stephen Herek,65.0,Christina Milian,Vanessa Ferlito,Kelli Garner,1000.0,923.0,730.0
Run All Night,R,2015.0,114.0,Jaume Collet-Serra,174.0,Liam Neeson,Common,Bruce McGill,14000.0,989.0,655.0
Eastern Promises,R,2007.0,96.0,David Cronenberg,0.0,Viggo Mortensen,Naomi Watts,Raza Jaffrey,10000.0,6000.0,509.0
Into the Blue,PG-13,2005.0,110.0,John Stockwell,134.0,Paul Walker,James Frain,Ashley Scott,23000.0,1000.0,795.0
